
12월 14, 2018 04:28:28.38 NEW SESSION
12월 14, 2018 05:38:09.44 [21896:16108:1214/053809.443:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:11.58 [21896:16108:1214/053811.585:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:13.74 [21896:16108:1214/053813.745:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:15.90 [21896:16108:1214/053815.897:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:18.04 [21896:16108:1214/053818.042:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:20.19 [21896:16108:1214/053820.190:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:22.33 [21896:16108:1214/053822.335:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:24.49 [21896:16108:1214/053824.492:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:26.64 [21896:16108:1214/053826.642:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:28.79 [21896:16108:1214/053828.795:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:30.96 [21896:16108:1214/053830.965:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:38:33.13 [21896:16108:1214/053833.130:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:23.92 [21896:16108:1214/054123.918:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 05:41:26.11 [21896:16108:1214/054126.117:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:28.30 [21896:16108:1214/054128.295:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:30.41 [21896:16108:1214/054130.418:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:32.58 [21896:16108:1214/054132.583:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:34.74 [21896:16108:1214/054134.743:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:36.93 [21896:16108:1214/054136.936:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:39.13 [21896:16108:1214/054139.134:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:41.37 [21896:16108:1214/054141.372:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:44.00 [21896:16108:1214/054143.936:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:46.90 [21896:16108:1214/054146.906:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:49.86 [21896:16108:1214/054149.860:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:52.41 [21896:16108:1214/054152.416:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:54.60 [21896:16108:1214/054154.602:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:56.98 [21896:16108:1214/054156.987:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:41:59.78 [21896:16108:1214/054159.786:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:42:02.20 [21896:16108:1214/054202.202:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:42:04.48 [21896:16108:1214/054204.482:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:42:06.71 [21896:16108:1214/054206.716:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:42:08.93 [21896:16108:1214/054208.936:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:42:11.15 [21896:16108:1214/054211.150:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
