127.0.0.1 - - [12/Nov/2018:20:37:40 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:41 +0900] "GET /Jeonju/UserPage.html HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:41 +0900] "GET /Jeonju/page.js HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:41 +0900] "GET /Jeonju/user.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:41 +0900] "GET /Jeonju/user.png HTTP/1.1" 200 12915
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:41 +0900] "GET /Jeonju/page.js HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:41 +0900] "GET /Jeonju/paper.png HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:41 +0900] "GET /Jeonju/thumb-up-button.png HTTP/1.1" 200 5266
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:41 +0900] "GET /Jeonju/bookmark-ribbon.png HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:41 +0900] "GET /Jeonju/star.png HTTP/1.1" 200 5868
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:44 +0900] "GET /Jeonju/undefined HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:45 +0900] "GET /Jeonju/undefined HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:46 +0900] "GET /Jeonju/undefined HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:46 +0900] "GET /Jeonju/undefined HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:46 +0900] "GET /Jeonju/undefined HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:46 +0900] "GET /Jeonju/undefined HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:37:47 +0900] "GET /Jeonju/undefined HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:38:31 +0900] "GET /Jeonju/UserPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:38:31 +0900] "GET /Jeonju/page.js HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:38:31 +0900] "GET /Jeonju/page.js HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:38:33 +0900] "GET /Jeonju/UserPage2.html HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:38:33 +0900] "GET /Jeonju/page.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:38:34 +0900] "GET /Jeonju/page.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:38:34 +0900] "GET /Jeonju/page.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:38:35 +0900] "GET /Jeonju/page.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:20:38:35 +0900] "GET /Jeonju/page.js HTTP/1.1" 304 -
